"Date","Start_date","End_date","Ring","seedlitter_p_flux_mg_m2_d","Days"
"2012-10-09",2012-09-14,2012-10-09,1,0.0818556130166752,25
"2012-10-09",2012-09-14,2012-10-09,2,0.0215404158265959,25
"2012-10-09",2012-09-14,2012-10-09,3,0.0534594126720307,25
"2012-10-09",2012-09-14,2012-10-09,4,0.0519771229128067,25
"2012-10-09",2012-09-14,2012-10-09,5,0.15010856,25
"2012-10-09",2012-09-14,2012-10-09,6,0.0661503501263264,25
"2012-11-13",2012-10-09,2012-11-13,1,0.0371686628871732,35
"2012-11-13",2012-10-09,2012-11-13,2,0.0371676917959132,35
"2012-11-13",2012-10-09,2012-11-13,3,0.0559385192720297,35
"2012-11-13",2012-10-09,2012-11-13,4,0.0413003307062115,35
"2012-11-13",2012-10-09,2012-11-13,5,0.0752270151515154,35
"2012-11-13",2012-10-09,2012-11-13,6,0.0255803431462353,35
"2012-12-11",2012-11-13,2012-12-11,1,0.134288086293733,28
"2012-12-11",2012-11-13,2012-12-11,2,0.0596076208508724,28
"2012-12-11",2012-11-13,2012-12-11,3,0.0475932213675715,28
"2012-12-11",2012-11-13,2012-12-11,4,0.0569938309278677,28
"2012-12-11",2012-11-13,2012-12-11,5,0.1827109375,28
"2012-12-11",2012-11-13,2012-12-11,6,0.0665815448932542,28
"2013-01-08",2012-12-11,2013-01-08,1,0.0564308205991783,28
"2013-01-08",2012-12-11,2013-01-08,2,0.0316150917220096,28
"2013-01-08",2012-12-11,2013-01-08,3,0.0286020651837425,28
"2013-01-08",2012-12-11,2013-01-08,4,0.0315068777283,28
"2013-01-08",2012-12-11,2013-01-08,5,0.0912349999999999,28
"2013-01-08",2012-12-11,2013-01-08,6,0.0270251622129082,28
"2013-02-20",2013-01-08,2013-02-20,1,0.0342414268667913,43
"2013-02-20",2013-01-08,2013-02-20,2,0.0413875861593363,43
"2013-02-20",2013-01-08,2013-02-20,3,0.024232007212433,43
"2013-02-20",2013-01-08,2013-02-20,4,0.0247975072976362,43
"2013-02-20",2013-01-08,2013-02-20,5,0.0485468517441861,43
"2013-02-20",2013-01-08,2013-02-20,6,0.0124659134624801,43
"2013-03-14",2013-02-20,2013-03-14,1,0.0379724776357988,22
"2013-03-14",2013-02-20,2013-03-14,2,0.0314801687295597,22
"2013-03-14",2013-02-20,2013-03-14,3,0.069813891499887,22
"2013-03-14",2013-02-20,2013-03-14,4,0.0265181821444188,22
"2013-03-14",2013-02-20,2013-03-14,5,0.09437663030303,22
"2013-03-14",2013-02-20,2013-03-14,6,0.0719426563002435,22
"2013-04-09",2013-03-14,2013-04-09,1,0.0483738976606937,26
"2013-04-09",2013-03-14,2013-04-09,2,0.0415428835409971,26
"2013-04-09",2013-03-14,2013-04-09,3,0.101659115583883,26
"2013-04-09",2013-03-14,2013-04-09,4,0.0646855156944691,26
"2013-04-09",2013-03-14,2013-04-09,5,0.0842577794871797,26
"2013-04-09",2013-03-14,2013-04-09,6,0.0245716702863147,26
"2013-05-13",2013-04-09,2013-05-13,1,0.0172451463310292,34
"2013-05-13",2013-04-09,2013-05-13,2,0.0241200247838939,34
"2013-05-13",2013-04-09,2013-05-13,3,0.0315418324400444,34
"2013-05-13",2013-04-09,2013-05-13,4,0.0292573339757909,34
"2013-05-13",2013-04-09,2013-05-13,5,0.0409572333333333,34
"2013-05-13",2013-04-09,2013-05-13,6,0.0109542148722397,34
"2013-06-14",2013-05-13,2013-06-14,1,0.0240733130706913,32
"2013-06-14",2013-05-13,2013-06-14,2,0.0174406263512286,32
"2013-06-14",2013-05-13,2013-06-14,3,0.0203599204860211,32
"2013-06-14",2013-05-13,2013-06-14,4,0.0221946712422956,32
"2013-06-14",2013-05-13,2013-06-14,5,0.0263028791666666,32
"2013-06-14",2013-05-13,2013-06-14,6,0.0111579865886367,32
"2013-07-08",2013-06-14,2013-07-08,1,0.0177019469849703,24
"2013-07-08",2013-06-14,2013-07-08,2,0.0163665426409507,24
"2013-07-08",2013-06-14,2013-07-08,3,0.0172203568793827,24
"2013-07-08",2013-06-14,2013-07-08,4,0.0135689504259748,24
"2013-07-08",2013-06-14,2013-07-08,5,0.0201879449074074,24
"2013-07-08",2013-06-14,2013-07-08,6,0.0185191419870056,24
"2013-08-15",2013-07-08,2013-08-15,1,0.102018794234417,38
"2013-08-15",2013-07-08,2013-08-15,2,0.059130236047263,38
"2013-08-15",2013-07-08,2013-08-15,3,0.0683063287083028,38
"2013-08-15",2013-07-08,2013-08-15,4,0.099290798155815,38
"2013-08-15",2013-07-08,2013-08-15,5,0.0726085868421053,38
"2013-08-15",2013-07-08,2013-08-15,6,0.0537008311326555,38
"2013-09-10",2013-08-15,2013-09-10,1,0.13596396554776,26
"2013-09-10",2013-08-15,2013-09-10,2,0.0822472015437267,26
"2013-09-10",2013-08-15,2013-09-10,3,0.130578613484434,26
"2013-09-10",2013-08-15,2013-09-10,4,0.0724344261616634,26
"2013-09-10",2013-08-15,2013-09-10,5,0.142174047435897,26
"2013-09-10",2013-08-15,2013-09-10,6,0.0345808519801578,26
"2013-10-09",2013-09-10,2013-10-09,1,0.055032894885151,29
"2013-10-09",2013-09-10,2013-10-09,2,0.0897545589919407,29
"2013-10-09",2013-09-10,2013-10-09,3,0.0546046924819605,29
"2013-10-09",2013-09-10,2013-10-09,4,0.0454754870007471,29
"2013-10-09",2013-09-10,2013-10-09,5,0.106187870498084,29
"2013-10-09",2013-09-10,2013-10-09,6,0.0492289600555998,29
"2013-11-11",2013-10-09,2013-11-11,1,0.0144593635319281,33
"2013-11-11",2013-10-09,2013-11-11,2,0.0646151621955787,33
"2013-11-11",2013-10-09,2013-11-11,3,0.0550461091574303,33
"2013-11-11",2013-10-09,2013-11-11,4,0.029765956303391,33
"2013-11-11",2013-10-09,2013-11-11,5,0.0721544373737373,33
"2013-11-11",2013-10-09,2013-11-11,6,0.0185772153562887,33
"2013-12-12",2013-11-11,2013-12-12,1,0.00690939348871031,31
"2013-12-12",2013-11-11,2013-12-12,2,0.0186331682911055,31
"2013-12-12",2013-11-11,2013-12-12,3,0.0100657399289405,31
"2013-12-12",2013-11-11,2013-12-12,4,0.0057050603106312,31
"2013-12-12",2013-11-11,2013-12-12,5,0.0206117684587814,31
"2013-12-12",2013-11-11,2013-12-12,6,0.0188102618404236,31
"2014-01-14",2013-12-12,2014-01-14,1,0.00677536639728371,33
"2014-01-14",2013-12-12,2014-01-14,2,0.0179826357853137,33
"2014-01-14",2013-12-12,2014-01-14,3,0.00511695409223245,33
"2014-01-14",2013-12-12,2014-01-14,4,0.00716479735033979,33
"2014-01-14",2013-12-12,2014-01-14,5,0.032441360942761,33
"2014-01-14",2013-12-12,2014-01-14,6,0.0349926210736725,33
"2014-02-26",2014-01-14,2014-02-26,1,0.00300325138330158,43
"2014-02-26",2014-01-14,2014-02-26,2,0.0128013209786787,43
"2014-02-26",2014-01-14,2014-02-26,3,0.00871595704785123,43
"2014-02-26",2014-01-14,2014-02-26,4,0.00233681110764375,43
"2014-02-26",2014-01-14,2014-02-26,5,0.00963092558139533,43
"2014-02-26",2014-01-14,2014-02-26,6,0.0138269832288883,43
"2014-03-13",2014-02-26,2014-03-13,1,0.0038247730595325,15
"2014-03-13",2014-02-26,2014-03-13,2,0.0199844459111664,15
"2014-03-13",2014-02-26,2014-03-13,3,0.00552786452624831,15
"2014-03-13",2014-02-26,2014-03-13,4,0.00495928274173056,15
"2014-03-13",2014-02-26,2014-03-13,5,0.0317157037037037,15
"2014-03-13",2014-02-26,2014-03-13,6,0.0103649577235354,15
"2014-04-14",2014-03-13,2014-04-14,1,0.003899926947946,32
"2014-04-14",2014-03-13,2014-04-14,2,0.00472867914857715,32
"2014-04-14",2014-03-13,2014-04-14,3,0.0035434460391781,32
"2014-04-14",2014-03-13,2014-04-14,4,0.00236076813052897,32
"2014-04-14",2014-03-13,2014-04-14,5,0.018403910546875,32
"2014-04-14",2014-03-13,2014-04-14,6,0.00434431369804496,32
"2014-05-07",2014-04-14,2014-05-07,1,0.000847503090283117,23
"2014-05-07",2014-04-14,2014-05-07,2,0.00398209835090947,23
"2014-05-07",2014-04-14,2014-05-07,3,0.00226048579677965,23
"2014-05-07",2014-04-14,2014-05-07,4,0.000189401578058137,23
