"Start_date","End_date","Date","Ring","herbivory_leaf_consumption_flux","ndays"
2012-11-13,2012-12-10,2012-12-10,1,146.55989514045,28
2012-11-13,2012-12-10,2012-12-10,2,113.110494834196,28
2012-11-13,2012-12-10,2012-12-10,3,115.322744993031,28
2012-11-13,2012-12-10,2012-12-10,4,103.46750659845,28
2012-11-13,2012-12-10,2012-12-10,5,201.469437752324,28
2012-11-13,2012-12-10,2012-12-10,6,138.720721445743,28
2012-12-10,2013-01-09,2013-01-09,1,110.965835463121,31
2012-12-10,2013-01-09,2013-01-09,2,91.4931113765991,31
2012-12-10,2013-01-09,2013-01-09,3,95.6620579033951,31
2012-12-10,2013-01-09,2013-01-09,4,73.7137642436226,31
2012-12-10,2013-01-09,2013-01-09,5,141.291224038497,31
2012-12-10,2013-01-09,2013-01-09,6,93.1124146181229,31
2013-01-09,2013-02-20,2013-02-20,1,28.886829964805,43
2013-01-09,2013-02-20,2013-02-20,2,65.748763726975,43
2013-01-09,2013-02-20,2013-02-20,3,46.2534784840962,43
2013-01-09,2013-02-20,2013-02-20,4,48.4159194207243,43
2013-01-09,2013-02-20,2013-02-20,5,99.4646800397442,43
2013-01-09,2013-02-20,2013-02-20,6,48.4082884043625,43
2013-02-20,2013-03-14,2013-03-14,1,172.551383287366,23
2013-02-20,2013-03-14,2013-03-14,2,163.979793947958,23
2013-02-20,2013-03-14,2013-03-14,3,84.8565828070638,23
2013-02-20,2013-03-14,2013-03-14,4,89.1810483720275,23
2013-02-20,2013-03-14,2013-03-14,5,145.412546978854,23
2013-04-10,2013-05-13,2013-05-13,1,154.727105728786,34
2013-04-10,2013-05-13,2013-05-13,2,132.567334999281,34
2013-04-10,2013-05-13,2013-05-13,3,99.1686555327684,34
2013-04-10,2013-05-13,2013-05-13,4,64.4006002672313,34
2013-04-10,2013-05-13,2013-05-13,5,167.747499252755,34
2013-05-13,2013-06-14,2013-06-14,1,41.6287539677659,33
2013-05-13,2013-06-14,2013-06-14,2,39.5552157408844,33
2013-05-13,2013-06-14,2013-06-14,3,37.9256326737913,33
2013-05-13,2013-06-14,2013-06-14,4,25.8635741109148,33
2013-05-13,2013-06-14,2013-06-14,5,54.0530579201312,33
2013-06-14,2013-07-08,2013-07-08,1,50.2588679146652,25
2013-06-14,2013-07-08,2013-07-08,2,51.3996409541183,25
2013-06-14,2013-07-08,2013-07-08,3,40.8935695448208,25
2013-06-14,2013-07-08,2013-07-08,4,34.1166398041044,25
2013-06-14,2013-07-08,2013-07-08,5,52.3441191435153,25
2013-06-14,2013-07-08,2013-07-08,6,55.6329839514171,25
2013-07-08,2013-08-16,2013-08-16,1,61.5725790321163,40
2013-07-08,2013-08-16,2013-08-16,2,72.9174015749192,40
2013-07-08,2013-08-16,2013-08-16,3,32.1962435799966,40
2013-07-08,2013-08-16,2013-08-16,4,33.9655851035724,40
2013-07-08,2013-08-16,2013-08-16,5,67.3246213801487,40
2013-07-08,2013-08-16,2013-08-16,6,55.8658572948724,40
2013-08-16,2013-09-13,2013-09-13,1,132.3593039931,29
2013-08-16,2013-09-13,2013-09-13,2,138.773678521444,29
2013-08-16,2013-09-13,2013-09-13,3,44.0660254916264,29
