"Date","Ring","Depth","PercP"
2018-10-01,1,"0_10",0.006527705972
2018-10-01,1,"10_30",0.002835446068
2018-10-01,1,"transition",0.00175233326
2018-10-01,2,"0_10",0.003719003905
2018-10-01,2,"10_30",0.002550716201
2018-10-01,2,"transition",0.001036046848
2018-10-01,3,"0_10",0.005519009642
2018-10-01,3,"10_30",0.002664183164
2018-10-01,3,"transition",0.001501239619
2018-10-01,4,"0_10",0.004091549892
2018-10-01,4,"10_30",0.002296521062
2018-10-01,4,"transition",0.001296812219
2018-10-01,5,"0_10",0.008012598027
2018-10-01,5,"10_30",0.00495246473
2018-10-01,5,"transition",0.002418114147
2018-10-01,6,"0_10",0.006899260196
2018-10-01,6,"10_30",0.00297827711
2018-10-01,6,"transition",0.001973865986
