"Date","Ring","seed_flux","Start_date","End_date","Days"
2012-10-09,"1",117.635169277413,2012-09-14,2012-10-09,26
2012-10-09,"2",29.5098534613441,2012-09-14,2012-10-09,26
2012-10-09,"3",78.4234461849419,2012-09-14,2012-10-09,26
2012-10-09,"4",74.9873673572511,2012-09-14,2012-10-09,26
2012-10-09,"5",210.813542193027,2012-09-14,2012-10-09,26
2012-10-09,"6",98.8377968671046,2012-09-14,2012-10-09,26
2012-11-13,"1",53.4152978569351,2012-10-09,2012-11-13,36
2012-11-13,"2",50.9188470279931,2012-10-09,2012-11-13,36
2012-11-13,"3",82.0602254407206,2012-10-09,2012-11-13,36
2012-11-13,"4",59.5839649654708,2012-10-09,2012-11-13,36
2012-11-13,"5",105.649361586704,2012-10-09,2012-11-13,36
2012-11-13,"6",38.2205801609541,2012-10-09,2012-11-13,36
2012-12-11,"1",192.986176279506,2012-11-13,2012-12-11,29
2012-12-11,"2",81.6610120551505,2012-11-13,2012-12-11,29
2012-12-11,"3",69.8179094780914,2012-11-13,2012-12-11,29
2012-12-11,"4",82.2249693207248,2012-11-13,2012-12-11,29
2012-12-11,"5",256.600555836281,2012-11-13,2012-12-11,29
2012-12-11,"6",99.4820616472966,2012-11-13,2012-12-11,29
2013-01-08,"1",81.0970547895763,2012-12-11,2013-01-08,29
2013-01-08,"2",43.3119179961019,2012-12-11,2013-01-08,29
2013-01-08,"3",41.9584205587237,2012-12-11,2013-01-08,29
2013-01-08,"4",45.4549556052841,2012-12-11,2013-01-08,29
2013-01-08,"5",128.131090738468,2012-12-11,2013-01-08,29
2013-01-08,"6",40.3793402151159,2012-12-11,2013-01-08,29
2013-02-20,"1",49.2085502426643,2013-01-08,2013-02-20,44
2013-02-20,"2",56.7000011751296,2013-01-08,2013-02-20,44
2013-02-20,"3",35.5476691305216,2013-01-08,2013-02-20,44
2013-02-20,"4",35.7753504823907,2013-01-08,2013-02-20,44
2013-02-20,"5",68.179548045172,2013-01-08,2013-02-20,44
2013-02-20,"6",18.6258034948353,2013-01-08,2013-02-20,44
2013-03-14,"1",54.5704646260483,2013-02-20,2013-03-14,23
2013-03-14,"2",43.1270767299064,2013-02-20,2013-03-14,23
2013-03-14,"3",102.415004006717,2013-02-20,2013-03-14,23
2013-03-14,"4",38.2577671612538,2013-02-20,2013-03-14,23
2013-03-14,"5",132.543218950495,2013-02-20,2013-03-14,23
2013-03-14,"6",107.492305572144,2013-02-20,2013-03-14,23
2013-04-09,"1",69.5184047887434,2013-03-14,2013-04-09,27
2013-04-09,"2",56.9127548662668,2013-03-14,2013-04-09,27
2013-04-09,"3",149.131046932967,2013-03-14,2013-04-09,27
2013-04-09,"4",93.3217588093788,2013-03-14,2013-04-09,27
2013-04-09,"5",118.332232026017,2013-03-14,2013-04-09,27
2013-04-09,"6",36.7134830247513,2013-03-14,2013-04-09,27
2013-05-13,"1",24.7830983496649,2013-04-09,2013-05-13,35
2013-05-13,"2",33.0438559119117,2013-04-09,2013-05-13,35
2013-05-13,"3",46.2709759666036,2013-04-09,2013-05-13,35
2013-05-13,"4",42.2095400396979,2013-04-09,2013-05-13,35
2013-05-13,"5",57.5206333164898,2013-04-09,2013-05-13,35
2013-05-13,"6",16.3671161575629,2013-04-09,2013-05-13,35
2013-06-14,"1",34.5958957947336,2013-05-13,2013-06-14,33
2013-06-14,"2",23.8932401325024,2013-05-13,2013-06-14,33
2013-06-14,"3",29.8674274324855,2013-05-13,2013-06-14,33
2013-06-14,"4",32.0202403009376,2013-05-13,2013-06-14,33
2013-06-14,"5",36.9399528381337,2013-05-13,2013-06-14,33
