"Date","Ring","fineroot_p_pool"
"2014-02-18",1,0.358079557549594
"2014-06-16",1,0.25296350056437
"2014-09-22",1,0.18747682646949
"2014-12-10",1,0.274187923640984
"2015-05-12",1,0.248976461516666
"2015-09-23",1,0.163302046295377
"2016-02-26",1,0.136269437547163
"2014-02-18",2,0.206088218317941
"2014-06-16",2,0.280271024266519
"2014-09-22",2,0.335022179161464
"2014-12-10",2,0.206500712823078
"2015-05-12",2,0.174949263549129
"2015-09-23",2,0.172406099974153
"2016-02-26",2,0.162469621065197
"2014-02-18",3,0.44780000641699
"2014-06-16",3,0.261066833230472
"2014-09-22",3,0.402151744781123
"2014-12-10",3,0.253266422326283
"2015-05-12",3,0.198216482158162
"2015-09-23",3,0.158207152698771
"2016-02-26",3,0.177659632703811
"2014-02-18",4,0.266899049667437
"2014-06-16",4,0.314456305407638
"2014-09-22",4,0.303092856660754
"2014-12-10",4,0.245472075749551
"2015-05-12",4,0.258774820971018
"2015-09-23",4,0.17257354858363
"2016-02-26",4,0.174154048417871
"2014-02-18",5,0.281669195934177
"2014-06-16",5,0.362301875067771
"2014-09-22",5,0.259770856658035
"2014-12-10",5,0.250860040591477
"2015-05-12",5,0.186129531641137
"2015-09-23",5,0.148940483851374
"2016-02-26",5,0.300074054878116
"2014-02-18",6,0.376756478578549
"2014-06-16",6,0.217059760359262
"2014-09-22",6,0.201740853916937
"2014-12-10",6,0.232269145573961
"2015-05-12",6,0.202779258731336
"2015-09-23",6,0.145164192764666
"2016-02-26",6,0.185689723692959
