"Start_date","End_date","Date","Ring","wood_production_flux","Days"
2012-12-20,2013-12-20,2013-12-20,1,-5.67176361168692,365
2012-12-20,2013-12-20,2013-12-20,2,110.607009498722,365
2012-12-20,2013-12-20,2013-12-20,3,503.680891070024,365
2012-12-20,2013-12-20,2013-12-20,4,175.665077342214,365
2012-12-20,2013-12-20,2013-12-20,5,361.69994450926,365
2012-12-20,2013-12-20,2013-12-20,6,145.653712830905,365
2013-12-20,2014-12-23,2014-12-23,1,281.61646446573,368
2013-12-20,2014-12-23,2014-12-23,2,117.046545586121,368
2013-12-20,2014-12-23,2014-12-23,3,104.210037249825,368
2013-12-20,2014-12-23,2014-12-23,4,161.143500931194,368
2013-12-20,2014-12-23,2014-12-23,5,82.8915645868288,368
2013-12-20,2014-12-23,2014-12-23,6,-0.947948525280303,368
2014-12-23,2015-12-14,2015-12-14,1,153.251653849517,356
2014-12-23,2015-12-14,2015-12-14,2,127.276171866273,356
2014-12-23,2015-12-14,2015-12-14,3,279.604985704961,356
2014-12-23,2015-12-14,2015-12-14,4,109.697529699399,356
2014-12-23,2015-12-14,2015-12-14,5,87.0950211477199,356
2014-12-23,2015-12-14,2015-12-14,6,108.667855512231,356
2015-12-14,2016-12-21,2016-12-21,1,-104.626604252572,373
2015-12-14,2016-12-21,2016-12-21,2,37.3049870968609,373
2015-12-14,2016-12-21,2016-12-21,3,69.2760008991825,373
2015-12-14,2016-12-21,2016-12-21,4,-22.5554191833652,373
2015-12-14,2016-12-21,2016-12-21,5,59.9604368657842,373
2015-12-14,2016-12-21,2016-12-21,6,15.9907780034286,373
