"Date","Start_date","End_date","Ring","canopy_p_flux","leaf_p_flux","herbivory_p_flux","Days"
"2012-10-09","2012-09-14","2012-10-09",1,1.07793577514277,0.873970411143676,0.203965363999092,26
"2012-10-09","2012-09-14","2012-10-09",2,1.41476689066644,1.24963919213197,0.16512769853447,26
"2012-10-09","2012-09-14","2012-10-09",3,1.43887367209584,1.28164808421451,0.157225587881333,26
"2012-10-09","2012-09-14","2012-10-09",4,1.02550597005711,0.882069988838359,0.143435981218755,26
"2012-10-09","2012-09-14","2012-10-09",5,1.50303428925761,1.216124,0.286910289257607,26
"2012-10-09","2012-09-14","2012-10-09",6,1.4664871848249,1.28080064416372,0.185686540661179,26
"2012-11-13","2012-10-09","2012-11-13",1,1.08264130693491,0.878675942935819,0.203965363999092,36
"2012-11-13","2012-10-09","2012-11-13",2,1.14979809251721,0.984670393982739,0.16512769853447,36
"2012-11-13","2012-10-09","2012-11-13",3,1.4049130952749,1.24768750739357,0.157225587881333,36
"2012-11-13","2012-10-09","2012-11-13",4,1.19987232354551,1.05643634232675,0.143435981218755,36
"2012-11-13","2012-10-09","2012-11-13",5,1.58076510743942,1.29385481818182,0.286910289257607,36
"2012-11-13","2012-10-09","2012-11-13",6,1.11982474624304,0.93413820558186,0.185686540661179,36
"2012-12-11","2012-11-13","2012-12-11",1,1.07420867248823,0.870243308489136,0.203965363999092,29
"2012-12-11","2012-11-13","2012-12-11",2,1.27494914752585,1.10982144899138,0.16512769853447,29
"2012-12-11","2012-11-13","2012-12-11",3,1.00882901254567,0.851603424664333,0.157225587881333,29
"2012-12-11","2012-11-13","2012-12-11",4,0.832052802635295,0.688616821416541,0.143435981218755,29
"2012-12-11","2012-11-13","2012-12-11",5,1.7228977892576,1.4359875,0.286910289257607,29
"2012-12-11","2012-11-13","2012-12-11",6,1.46538081393833,1.27969427327715,0.185686540661179,29
"2013-01-08","2012-12-11","2013-01-08",1,0.526292232957794,0.371862625867743,0.154429607090051,29
"2013-01-08","2012-12-11","2013-01-08",2,0.847872401049336,0.714303478594156,0.13356892245518,29
"2013-01-08","2012-12-11","2013-01-08",3,0.944811120003598,0.814389985016668,0.13042113498693,29
"2013-01-08","2012-12-11","2013-01-08",4,0.595040665399399,0.492852002975689,0.10218866242371,29
"2013-01-08","2012-12-11","2013-01-08",5,1.19082181817502,0.989610625,0.201211193175025,29
"2013-01-08","2012-12-11","2013-01-08",6,0.999104729285532,0.874467818643374,0.124636910642157,29
"2013-02-20","2013-01-08","2013-02-20",1,0.304218131897327,0.264016733125139,0.0402013987721883,44
"2013-02-20","2013-01-08","2013-02-20",2,0.455928609255033,0.359943333515264,0.0959852757397692,44
"2013-02-20","2013-01-08","2013-02-20",3,0.270433722600828,0.207373912962599,0.0630598096382296,44
