"Date","Ring","Start_date","End_date","fineroot_p_retrans_flux","Days"
"2014-01-01",1,"2014-01-01","2014-12-31",0.186948131786098,365
"2014-01-01",2,"2014-01-01","2014-12-31",0.176653996640819,365
"2014-01-01",3,"2014-01-01","2014-12-31",0.225602177872728,365
"2014-01-01",4,"2014-01-01","2014-12-31",0.210846824113243,365
"2014-01-01",5,"2014-01-01","2014-12-31",0.223668206341306,365
"2014-01-01",6,"2014-01-01","2014-12-31",0.16612214666965,365
"2015-01-01",1,"2015-01-01","2015-12-31",0.15411662468494,365
"2015-01-01",2,"2015-01-01","2015-12-31",0.122564448668612,365
"2015-01-01",3,"2015-01-01","2015-12-31",0.158097613982523,365
"2015-01-01",4,"2015-01-01","2015-12-31",0.124741304799652,365
"2015-01-01",5,"2015-01-01","2015-12-31",0.149096321242377,365
"2015-01-01",6,"2015-01-01","2015-12-31",0.151796507569278,365
"2016-01-01",1,"2016-01-01","2016-12-31",0.122093712861702,365
"2016-01-01",2,"2016-01-01","2016-12-31",0.125504587933614,365
"2016-01-01",3,"2016-01-01","2016-12-31",0.162457960826662,365
"2016-01-01",4,"2016-01-01","2016-12-31",0.131033805231434,365
"2016-01-01",5,"2016-01-01","2016-12-31",0.185301858846197,365
"2016-01-01",6,"2016-01-01","2016-12-31",0.124177659363451,365
