"Date","Ring","bark_flux","Start_date","End_date","Days"
2012-10-09,"1",20.4143506821627,2012-09-14,2012-10-09,26
2012-10-09,"2",56.9984840828701,2012-09-14,2012-10-09,26
2012-10-09,"3",65.0833754421425,2012-09-14,2012-10-09,26
2012-10-09,"4",29.3077311773623,2012-09-14,2012-10-09,26
2012-10-09,"5",38.2011116725619,2012-09-14,2012-10-09,26
2012-10-09,"6",34.7650328448712,2012-09-14,2012-10-09,26
2012-11-13,"1",139.049303399986,2012-10-09,2012-11-13,36
2012-11-13,"2",5.80226578205355,2012-10-09,2012-11-13,36
2012-11-13,"3",59.1410021677834,2012-10-09,2012-11-13,36
2012-11-13,"4",14.88847181116,2012-10-09,2012-11-13,36
2012-11-13,"5",6.06202791649987,2012-10-09,2012-11-13,36
2012-11-13,"6",43.8587856475679,2012-10-09,2012-11-13,36
2012-12-11,"1",25.9420342164152,2012-11-13,2012-12-11,29
2012-12-11,"2",108.505377896485,2012-11-13,2012-12-11,29
2012-12-11,"3",48.8386991987295,2012-11-13,2012-12-11,29
2012-12-11,"4",84.9319641954811,2012-11-13,2012-12-11,29
2012-12-11,"5",134.898577925359,2012-11-13,2012-12-11,29
2012-12-11,"6",264.383166101206,2012-11-13,2012-12-11,29
2013-01-08,"1",133.99624630044,2012-12-11,2013-01-08,29
2013-01-08,"2",273.744856709738,2012-12-11,2013-01-08,29
2013-01-08,"3",134.560203566015,2012-12-11,2013-01-08,29
2013-01-08,"4",157.569660001444,2012-12-11,2013-01-08,29
2013-01-08,"5",354.05237132751,2012-12-11,2013-01-08,29
2013-01-08,"6",161.066195048004,2012-12-11,2013-01-08,29
2013-02-20,"1",141.015546964053,2013-01-08,2013-02-20,44
2013-02-20,"2",180.455832755561,2013-01-08,2013-02-20,44
2013-02-20,"3",183.467102248023,2013-01-08,2013-02-20,44
2013-02-20,"4",58.4626955121802,2013-01-08,2013-02-20,44
2013-02-20,"5",306.121249867798,2013-01-08,2013-02-20,44
2013-02-20,"6",145.569174001434,2013-01-08,2013-02-20,44
2013-03-14,"1",52.6334594045559,2013-02-20,2013-03-14,23
2013-03-14,"2",87.9614742676895,2013-02-20,2013-03-14,23
2013-03-14,"3",73.18511032508,2013-02-20,2013-03-14,23
2013-03-14,"4",17.5108844891563,2013-02-20,2013-03-14,23
2013-03-14,"5",156.873178474998,2013-02-20,2013-03-14,23
2013-03-14,"6",186.91845182497,2013-02-20,2013-03-14,23
2013-04-09,"1",10.274549435742,2013-03-14,2013-04-09,27
2013-04-09,"2",19.6799298618399,2013-03-14,2013-04-09,27
2013-04-09,"3",60.9886716506221,2013-03-14,2013-04-09,27
2013-04-09,"4",32.2305144184881,2013-03-14,2013-04-09,27
2013-04-09,"5",100.274031173475,2013-03-14,2013-04-09,27
2013-04-09,"6",6.79463425799959,2013-03-14,2013-04-09,27
2013-05-13,"1",107.229669701804,2013-04-09,2013-05-13,35
2013-05-13,"2",27.2691694161242,2013-04-09,2013-05-13,35
2013-05-13,"3",40.4459240324056,2013-04-09,2013-05-13,35
2013-05-13,"4",150.808158870757,2013-04-09,2013-05-13,35
2013-05-13,"5",3.60154167781312,2013-04-09,2013-05-13,35
2013-05-13,"6",61.5061082543174,2013-04-09,2013-05-13,35
2013-06-14,"1",167.778163775195,2013-05-13,2013-06-14,33
2013-06-14,"2",6.97339425074392,2013-05-13,2013-06-14,33
2013-06-14,"3",30.0727078771546,2013-05-13,2013-06-14,33
2013-06-14,"4",31.0131379484588,2013-05-13,2013-06-14,33
2013-06-14,"5",33.4914168210656,2013-05-13,2013-06-14,33
2013-06-14,"6",20.0569521643928,2013-05-13,2013-06-14,33
2013-07-08,"1",26.6385005520933,2013-06-14,2013-07-08,25
2013-07-08,"2",5.17587445960362,2013-06-14,2013-07-08,25
2013-07-08,"3",10.6324743136264,2013-06-14,2013-07-08,25
2013-07-08,"4",208.953268579342,2013-06-14,2013-07-08,25
2013-07-08,"5",7.32459341605375,2013-06-14,2013-07-08,25
2013-07-08,"6",22.8101079857017,2013-06-14,2013-07-08,25
2013-08-15,"1",100.558791285102,2013-07-08,2013-08-15,39
2013-08-15,"2",71.8664397223478,2013-07-08,2013-08-15,39
2013-08-15,"3",24.3307654347254,2013-07-08,2013-08-15,39
