"Date","Ring","understorey_p_pool","live_p_pool","dead_p_pool"
"2015-02-02",1,0.102446730216721,0.0558509313667397,0.0465957988499814
"2015-02-02",2,0.148977419259736,0.0891181945244974,0.0598592247352388
"2015-02-02",3,0.1775311398456,0.130664917801174,0.0468662220444261
"2015-02-02",4,0.252128847993246,0.171156334767053,0.0809725132261938
"2015-02-02",5,0.117573390214093,0.0878961169656496,0.0296772732484429
"2015-02-02",6,0.356044886865319,0.271641030566469,0.0844038562988504
"2015-03-22",1,0.177210372011943,0.0947067946442905,0.0825035773676528
"2015-03-22",2,0.176291390416197,0.0946398953148475,0.08165149510135
"2015-03-22",3,0.188235792115592,0.136865243051731,0.0513705490638608
"2015-03-22",4,0.185184227054517,0.118494759301211,0.0666894677533062
"2015-03-22",5,0.131141113831568,0.0942282488246802,0.0369128650068873
"2015-03-22",6,0.179246345312781,0.132003531432602,0.0472428138801794
"2015-05-26",1,0.180502064284635,0.0945182199110154,0.0859838443736197
"2015-05-26",2,0.17702968088912,0.0835570270959746,0.0934726537931451
"2015-05-26",3,0.187184368196847,0.134416309427123,0.0527680587697237
"2015-05-26",4,0.195118156274611,0.116730693665263,0.0783874626093474
"2015-05-26",5,0.120247006111245,0.0827358194189623,0.0375111866922826
"2015-05-26",6,0.247016444524869,0.175031144337096,0.0719853001877729
"2015-08-20",1,0.196155594751649,0.0984802795331133,0.0976753152185354
"2015-08-20",2,0.157873894454487,0.0648876619707409,0.0929862324837464
"2015-08-20",3,0.21469958344018,0.152102085356848,0.062597498083332
"2015-08-20",4,0.172505749180392,0.0941781723757034,0.0783275768046885
"2015-08-20",5,0.122726332656886,0.081072350621551,0.0416539820353352
"2015-08-20",6,0.235519974370346,0.161147304419718,0.0743726699506279
"2015-09-23",1,0.190461744606109,0.0935651909186997,0.0968965536874089
"2015-09-23",2,0.167383950415142,0.0700680381306997,0.0973159122844426
"2015-09-23",3,0.18329863815801,0.129751440359972,0.0535471977980379
"2015-09-23",4,0.156144197446681,0.0840184481773335,0.0721257492693471
"2015-09-23",5,0.0924356871357092,0.0614798147942161,0.0309558723414931
"2015-09-23",6,0.24200466707614,0.166772213381965,0.0752324536941744
"2015-10-22",1,0.199777991247348,0.0959744143812582,0.10380357686609
"2015-10-22",2,0.182891294146398,0.0779402535891718,0.104951040557227
"2015-10-22",3,0.196425376396805,0.138930960331276,0.0574944160655294
"2015-10-22",4,0.251738220103265,0.133453568242795,0.118284651860469
"2015-10-22",5,0.122673320123814,0.0821411368411918,0.0405321832826223
"2015-10-22",6,0.225508314763482,0.156501640600404,0.0690066741630778
"2015-12-02",1,0.331316052045267,0.155554204310288,0.175761847734979
"2015-12-02",2,0.373437106757899,0.161944136922148,0.211492969835751
"2015-12-02",3,0.272337518085615,0.192467286656888,0.0798702314287273
"2015-12-02",4,0.38912743336739,0.203154992461451,0.185972440905939
"2015-12-02",5,0.289581785712002,0.195191214612578,0.0943905710994245
"2015-12-02",6,0.345184438588093,0.241221965201601,0.103962473386492
"2016-01-12",1,0.245765423554789,0.112695743905622,0.133069679649168
"2016-01-12",2,0.261605751576038,0.11539790457037,0.146207847005668
"2016-01-12",3,0.313963700207018,0.2217054665763,0.0922582336307183
"2016-01-12",4,0.28888968715554,0.148469233381409,0.140420453774131
"2016-01-12",5,0.180971805360941,0.122783483362621,0.0581883219983202
"2016-01-12",6,0.325953624969191,0.229342656300229,0.0966109686689613
"2016-02-16",1,0.207057071193993,0.0820311481714524,0.125025923022541
"2016-02-16",2,0.223160595176286,0.0962279491694529,0.126932646006833
"2016-02-16",3,0.276906994809037,0.18466113140913,0.0922458633999064
"2016-02-16",4,0.188717054318742,0.0975482447033529,0.0911688096153894
"2016-02-16",5,0.180795285872137,0.11700631314963,0.0637889727225071
"2016-02-16",6,0.292807971735693,0.198084428007869,0.0947235437278248
"2016-03-15",1,0.178966566529991,0.0615001784313341,0.117466388098657
"2016-03-15",2,0.197823867141532,0.0818263867219844,0.115997480419548
"2016-03-15",3,0.345585679833627,0.216549057404468,0.12903662242916
"2016-03-15",4,0.230615280065086,0.121750391516545,0.108864888548541
"2016-03-15",5,0.291052837248962,0.177383345922144,0.113669491326818
"2016-03-15",6,0.29226638699981,0.187864753894841,0.104401633104969
"2016-04-27",1,0.172304625426492,0.0499502527751717,0.12235437265132
"2016-04-27",2,0.178963686189345,0.0708338146610863,0.108129871528258
"2016-04-27",3,0.296172197379938,0.173175884462809,0.122996312917129
"2016-04-27",4,0.207798764010077,0.11196053442309,0.0958382295869869
"2016-04-27",5,0.252187741059514,0.143624754792635,0.108562986266879
"2016-04-27",6,0.25680531481387,0.155891319633718,0.100913995180151
"2016-06-01",1,0.146607973878482,0.0344378468041874,0.112170127074294
"2016-06-01",2,0.148941971683134,0.0562555780534571,0.092686393629677
"2016-06-01",3,0.197082333592913,0.106634182210442,0.0904481513824718
"2016-06-01",4,0.164553053214893,0.0904176216394844,0.0741354315754083
"2016-06-01",5,0.154109912314989,0.0812402098098527,0.0728697025051362
"2016-06-01",6,0.214362763020162,0.121988386425028,0.0923743765951346
"2016-08-14",1,0.16560563494797,0.0407722251115617,0.124833409836408
"2016-08-14",2,0.159679043237316,0.0652954780561139,0.0943835651812018
"2016-08-14",3,0.231855393126471,0.121468787404007,0.110386605722464
"2016-08-14",4,0.171247682551788,0.100071398805727,0.0711762837460611
"2016-08-14",5,0.158528249579145,0.0830157915781556,0.0755124580009894
"2016-08-14",6,0.211878699315238,0.117565566141428,0.0943131331738094
"2016-09-26",1,0.168369348897991,0.0525199501893299,0.115849398708661
"2016-09-26",2,0.180901858792858,0.0825900423631292,0.0983118164297292
"2016-09-26",3,0.199331559442643,0.109934528269814,0.0893970311728291
"2016-09-26",4,0.15728204006812,0.0956045122799015,0.0616775277882185
"2016-09-26",5,0.140838484866567,0.0792808976969062,0.0615575871696604
"2016-09-26",6,0.236064646559586,0.136925972842026,0.0991386737175605
"2016-11-10",1,0.198139090964298,0.0744758587126176,0.12366323225168
"2016-11-10",2,0.21063343977188,0.105807839712156,0.104825600059724
"2016-11-10",3,0.243853101887676,0.141052795070597,0.10280030681708
"2016-11-10",4,0.220426729169686,0.138977973563611,0.0814487556060751
"2016-11-10",5,0.284985357463139,0.171019413010553,0.113965944452585
"2016-11-10",6,0.29127810347349,0.175997538090915,0.115280565382575
"2016-12-15",1,0.185170421388274,0.0811238655033866,0.104046555884888
"2016-12-15",2,0.185999280161443,0.101626017696986,0.0843732624644569
"2016-12-15",3,0.252945928155101,0.152950785129729,0.0999951430253723
"2016-12-15",4,0.228221563006006,0.148876864925566,0.0793446980804397
"2016-12-15",5,0.263562722953605,0.167457457199142,0.0961052657544634
"2016-12-15",6,0.290273046649041,0.182144921222024,0.108128125427018
"2017-01-24",1,0.179985949003289,0.0897558625668452,0.0902300864364441
"2017-01-24",2,0.187925733230122,0.110647677903235,0.0772780553268869
"2017-01-24",3,0.236692733304669,0.149181237375195,0.0875114959294748
"2017-01-24",4,0.239187389682804,0.161072336576259,0.0781150531065452
"2017-01-24",5,0.176171993712143,0.117832828209995,0.0583391655021481
"2017-01-24",6,0.260642868436492,0.169391129571874,0.0912517388646182
"2017-03-08",1,0.287617709586973,0.160397987121293,0.127219722465679
"2017-03-08",2,0.228380742079043,0.143797250968637,0.0845834911104058
"2017-03-08",3,0.248228057155284,0.162650276062369,0.0855777810929155
"2017-03-08",4,0.311703801584544,0.216252055839635,0.0954517457449093
"2017-03-08",5,0.277597053405928,0.1945121622785,0.0830848911274278
"2017-03-08",6,0.269405517630052,0.180900322117789,0.0885051955122631
